scenarioId,notionalUsd,matchingRatioPercent,poolFeeBps,liquidityMode,executionStatus,measured,rejectionReason,economics,baselines,invariants
econ-candidate-fixed-100-100-100bps,100,100,100,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100-100-1bps,100,100,1,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100-100-30bps,100,100,30,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100-100-5bps,100,100,5,candidate-fixed,FULL_FILL,true,,"{""outputAdvantageUsd"":0.100001,""gasPremium"":443765,""l2CostUsdAt1GweiEth3000"":1.3312950000000001,""solverReserveUsd"":0.01,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":-1.2412940000000001,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":200000000,""totalGas"":686656,""endingTick"":0,""lpFeeRaw"":0},""directV4Independent"":{""fullFill"":true,""outputRaw"":199899999,""totalGas"":242891,""lpFeeRaw"":100000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":199899999,""totalGas"":221891,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":200000000,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-candidate-fixed-100-25-100bps,100,25,100,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100-25-1bps,100,25,1,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100-25-30bps,100,25,30,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100-25-5bps,100,25,5,candidate-fixed,FULL_FILL,true,,"{""outputAdvantageUsd"":0.025001,""gasPremium"":484906,""l2CostUsdAt1GweiEth3000"":1.454718,""solverReserveUsd"":0.00625,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":-1.435967,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":124956881,""totalGas"":727798,""endingTick"":-2,""lpFeeRaw"":37500},""directV4Independent"":{""fullFill"":true,""outputRaw"":124931880,""totalGas"":242892,""lpFeeRaw"":62500},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":124931880,""totalGas"":221892,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":124956881,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-candidate-fixed-100-50-100bps,100,50,100,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100-50-1bps,100,50,1,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100-50-30bps,100,50,30,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100-50-5bps,100,50,5,candidate-fixed,FULL_FILL,true,,"{""outputAdvantageUsd"":0.05,""gasPremium"":484767,""l2CostUsdAt1GweiEth3000"":1.454301,""solverReserveUsd"":0.0075,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":-1.411801,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":149972502,""totalGas"":727660,""endingTick"":-1,""lpFeeRaw"":25000},""directV4Independent"":{""fullFill"":true,""outputRaw"":149922502,""totalGas"":242893,""lpFeeRaw"":75000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":149922502,""totalGas"":221893,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":149972502,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-candidate-fixed-100-70-100bps,100,70,100,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100-70-1bps,100,70,1,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100-70-30bps,100,70,30,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100-70-5bps,100,70,5,candidate-fixed,FULL_FILL,true,,"{""outputAdvantageUsd"":0.07,""gasPremium"":485275,""l2CostUsdAt1GweiEth3000"":1.4558250000000001,""solverReserveUsd"":0.0085,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":-1.394325,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":169984100,""totalGas"":728167,""endingTick"":-1,""lpFeeRaw"":15000},""directV4Independent"":{""fullFill"":true,""outputRaw"":169914100,""totalGas"":242892,""lpFeeRaw"":85000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":169914100,""totalGas"":221892,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":169984100,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-candidate-fixed-100-90-100bps,100,90,100,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100-90-1bps,100,90,1,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100-90-30bps,100,90,30,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100-90-5bps,100,90,5,candidate-fixed,FULL_FILL,true,,"{""outputAdvantageUsd"":0.090001,""gasPremium"":485263,""l2CostUsdAt1GweiEth3000"":1.4557890000000002,""solverReserveUsd"":0.0095,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":-1.3752880000000003,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":189994900,""totalGas"":728155,""endingTick"":-1,""lpFeeRaw"":5000},""directV4Independent"":{""fullFill"":true,""outputRaw"":189904899,""totalGas"":242892,""lpFeeRaw"":95000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":189904899,""totalGas"":221892,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":189994900,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-candidate-fixed-1000-100-100bps,1000,100,100,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-1000-100-1bps,1000,100,1,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-1000-100-30bps,1000,100,30,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
